Q1-Price,Q2-Unit cost,Q3-House type,Q4-Area,Q5-Orientation,Q6-Year,Q7-Floor,Q8-Name,Q9-Location
540.9,60100,3,90,1,2015,3,4,4
325,42033,3,77.32,1,2000,1,9,9
1260,103448,6,121.8,1,2016,3,14,14
340,58089,4,58.53,2,1990,1,5,5
330,72431,5,45.56,2,1993,4,10,10
280,50332,5,55.63,2,2006,3,6,6
330,72431,5,45.56,2,1993,4,10,10
1090,82965,2,131.38,1,2005,0,3,3
1180,91921,1,128.37,2,2002,1,16,16
258,67362,5,38.3,2,1995,4,11,11
950,106074,3,89.56,1,2019,3,12,12
800,85846,3,93.19,2,2019,1,8,8
320,55623,5,57.53,2,2006,3,6,6
540.9,60100,3,90,1,2015,3,4,4
1090,82965,2,131.38,1,2005,0,3,3
238,58048,5,41,1,1997,0,15,15
320,55623,5,57.53,2,2006,3,6,6
950,106074,3,89.56,1,2019,3,12,12
888,67786,1,131,1,2003,2,2,2
280,50332,5,55.63,2,2006,3,6,6
585,65553,1,89.24,1,2015,2,13,13
700,63279,3,110.62,2,2006,1,17,17
340,58089,4,58.53,2,1990,1,5,5
1260,103448,6,121.8,1,2016,3,14,14
219,53116,5,41.23,1,1996,0,15,15
288,48104,4,59.87,1,1995,0,15,15
325,42033,3,77.32,1,2000,1,9,9
238,58048,5,41,1,1997,0,15,15
289,59784,4,48.34,1,1983,1,18,18
425,50825,4,83.62,2,2006,0,19,19
1480,84282,2,175.6,1,2016,2,7,7
330,72431,5,45.56,2,1993,4,10,10
258,67362,5,38.3,2,1995,4,11,11
340,58089,4,58.53,2,1990,1,5,5
280,50332,5,55.63,2,2006,3,6,6
950,106074,3,89.56,1,2019,3,12,12
330,72431,5,45.56,2,1993,4,10,10
1180,91921,1,128.37,2,2002,1,16,16
950,106074,3,89.56,1,2019,3,12,12
219,53116,5,41.23,1,1996,0,15,15
940,74402,1,126.34,1,2002,1,20,20
325,42033,3,77.32,1,2000,1,9,9
258,67362,5,38.3,2,1995,4,11,11
585,65553,1,89.24,1,2015,2,13,13
288,48104,4,59.87,1,1995,0,15,15
800,85846,3,93.19,2,2019,1,8,8
325,42033,3,77.32,1,2000,1,9,9
1260,103448,6,121.8,1,2016,3,14,14
330,72431,5,45.56,2,1993,4,10,10
1180,91921,1,128.37,2,2002,1,16,16
325,42033,3,77.32,1,2000,1,9,9
585,65553,1,89.24,1,2015,2,13,13
700,63279,3,110.62,2,2006,1,17,17
800,85846,3,93.19,2,2019,1,8,8
238,58048,5,41,1,1997,0,15,15
1288,91341,1,141.01,2,2002,1,21,21
700,63279,3,110.62,2,2006,1,17,17
238,58048,5,41,1,1997,0,15,15
219,53116,5,41.23,1,1996,0,15,15
800,85846,3,93.19,2,2019,1,8,8
700,63279,3,110.62,2,2006,1,17,17
700,63279,3,110.62,2,2006,1,17,17
280,50332,5,55.63,2,2006,3,6,6
950,106074,3,89.56,1,2019,3,12,12
280,50332,5,55.63,2,2006,3,6,6
1260,103448,6,121.8,1,2016,3,14,14
1260,103448,6,121.8,1,2016,3,14,14
585,65553,1,89.24,1,2015,2,13,13
289,59784,4,48.34,1,1983,1,18,18
425,50825,4,83.62,2,2006,0,19,19
1180,91921,1,128.37,2,2002,1,16,16
1260,103448,6,121.8,1,2016,3,14,14
585,65553,1,89.24,1,2015,2,13,13
330,72431,5,45.56,2,1993,4,10,10
288,48104,4,59.87,1,1995,0,15,15
585,65553,1,89.24,1,2015,2,13,13
330,72431,5,45.56,2,1993,4,10,10
330,72431,5,45.56,2,1993,4,10,10
289,59784,4,48.34,1,1983,1,18,18
950,106074,3,89.56,1,2019,3,12,12
1480,84282,2,175.6,1,2016,2,7,7
950,106074,3,89.56,1,2019,3,12,12
1480,84282,2,175.6,1,2016,2,7,7
235,34939,4,67.26,2,1994,2,22,22
425,50825,4,83.62,2,2006,0,19,19
289,59784,4,48.34,1,1983,1,18,18
308,34421,1,89.48,2,2013,0,23,23
950,106074,3,89.56,1,2019,3,12,12
325,42033,3,77.32,1,2000,1,9,9
1180,91921,1,128.37,2,2002,1,16,16
370,69666,7,53.11,2,1984,2,24,24
325,42033,3,77.32,1,2000,1,9,9
238,58048,5,41,1,1997,0,15,15
219,53116,5,41.23,1,1996,0,15,15
940,74402,1,126.34,1,2002,1,20,20
318,42169,4,75.41,2,2007,3,25,25
320,55623,5,57.53,2,2006,3,6,6
1180,91921,1,128.37,2,2002,1,16,16
1288,91341,1,141.01,2,2002,1,21,21
258,36190,3,71.29,1,2018,2,26,26
289,59784,4,48.34,1,1983,1,18,18
585,65553,1,89.24,1,2015,2,13,13
320,55623,5,57.53,2,2006,3,6,6
1048,72067,1,145.42,2,2002,2,27,27
1048,72067,1,145.42,2,2002,2,27,27
288,48104,4,59.87,1,1995,0,15,15
370,69666,7,53.11,2,1984,2,24,24
1180,91921,1,128.37,2,2002,1,16,16
203,43987,5,46.15,2,1996,4,28,28
1180,91921,1,128.37,2,2002,1,16,16
1260,83053,1,151.71,1,2005,2,29,29
700,63279,3,110.62,2,2006,1,17,17
288,48104,4,59.87,1,1995,0,15,15
940,74402,1,126.34,1,2002,1,20,20
1288,91341,1,141.01,2,2002,1,21,21
1260,83053,1,151.71,1,2005,2,29,29
585,65553,1,89.24,1,2015,2,13,13
388,74486,4,52.09,3,1982,0,30,30
258,36190,3,71.29,1,2018,2,26,26
338,59622,4,56.69,2,2018,1,31,31
339,57467,4,58.99,4,1995,0,32,32
370,31100,1,118.97,1,1998,2,33,33
235,34939,4,67.26,2,1994,2,22,22
225,25571,3,87.99,1,2010,0,34,34
338,59622,4,56.69,2,2018,1,31,31
235,34939,4,67.26,2,1994,2,22,22
308,34421,1,89.48,2,2013,0,23,23
1125,113430,3,99.18,1,2002,2,35,35
339,57467,4,58.99,4,1995,0,32,32
289,59784,4,48.34,1,1983,1,18,18
370,69666,7,53.11,2,1984,2,24,24
285,50000,5,57,2,2006,0,19,19
370,31100,1,118.97,1,1998,2,33,33
235,34939,4,67.26,2,1994,2,22,22
700,63279,3,110.62,2,2006,1,17,17
1125,113430,3,99.18,1,2002,2,35,35
285,50000,5,57,2,2006,0,19,19
238,58048,5,41,1,1997,0,15,15
1048,72067,1,145.42,2,2002,2,27,27
203,43987,5,46.15,2,1996,4,28,28
235,34939,4,67.26,2,1994,2,22,22
238,58048,5,41,1,1997,0,15,15
289,59784,4,48.34,1,1983,1,18,18
318,42169,4,75.41,2,2007,3,25,25
308,34421,1,89.48,2,2013,0,23,23
370,69666,7,53.11,2,1984,2,24,24
448,70263,4,63.76,2,1988,3,36,36
238,58048,5,41,1,1997,0,15,15
219,53116,5,41.23,1,1996,0,15,15
288,48104,4,59.87,1,1995,0,15,15
370,69666,7,53.11,2,1984,2,24,24
219,53116,5,41.23,1,1996,0,15,15
1260,83053,1,151.71,1,2005,2,29,29
448,70263,4,63.76,2,1988,3,36,36
1180,91921,1,128.37,2,2002,1,16,16
308,34421,1,89.48,2,2013,0,23,23
700,63279,3,110.62,2,2006,1,17,17
289,59784,4,48.34,1,1983,1,18,18
425,50825,4,83.62,2,2006,0,19,19
338,59622,4,56.69,2,2018,1,31,31
339,57467,4,58.99,4,1995,0,32,32
339,57467,4,58.99,4,1995,0,32,32
1180,91921,1,128.37,2,2002,1,16,16
288,48104,4,59.87,1,1995,0,15,15
940,74402,1,126.34,1,2002,1,20,20
289,59784,4,48.34,1,1983,1,18,18
218,32397,4,67.29,1,1994,2,37,37
370,31100,1,118.97,1,1998,2,33,33
1048,72067,1,145.42,2,2002,2,27,27
203,43987,5,46.15,2,1996,4,28,28
370,69666,7,53.11,2,1984,2,24,24
339,57467,4,58.99,4,1995,0,32,32
225,25571,3,87.99,1,2010,0,34,34
225,25571,3,87.99,1,2010,0,34,34
1125,113430,3,99.18,1,2002,2,35,35
285,50000,5,57,2,2006,0,19,19
940,74402,1,126.34,1,2002,1,20,20
310,58745,4,52.77,2,1994,1,38,38
320,78778,5,40.62,2,1995,3,39,39
218,32397,4,67.29,1,1994,2,37,37
940,74402,1,126.34,1,2002,1,20,20
1260,83053,1,151.71,1,2005,2,29,29
370,31100,1,118.97,1,1998,2,33,33
338,59622,4,56.69,2,2018,1,31,31
310,58745,4,52.77,2,1994,1,38,38
318,60733,7,52.36,1,1995,2,38,38
320,78778,5,40.62,2,1995,3,39,39
318,60733,7,52.36,1,1995,2,38,38
339,57467,4,58.99,4,1995,0,32,32
370,31100,1,118.97,1,1998,2,33,33
235,34939,4,67.26,2,1994,2,22,22
1288,91341,1,141.01,2,2002,1,21,21
258,36190,3,71.29,1,2018,2,26,26
1125,113430,3,99.18,1,2002,2,35,35
285,50000,5,57,2,2006,0,19,19
388,74486,4,52.09,3,1982,0,30,30
235,34939,4,67.26,2,1994,2,22,22
308,34421,1,89.48,2,2013,0,23,23
370,69666,7,53.11,2,1984,2,24,24
318,42169,4,75.41,2,2007,3,25,25
