area_type,availability,location,size,society,total_sqft,bath,balcony,price
2,80,833,24,2688,476,4,1,150
3,80,468,13,2688,1973,2,2,45
2,80,1151,17,2688,1650,3,2,240
3,80,437,13,1089,1977,2,1,55
2,80,1252,19,430,1762,5,3,650
0,80,1190,13,848,193,2,2,44
0,80,269,28,2688,1386,8,0,140
3,80,396,13,2688,119,2,1,62
3,26,484,13,261,170,2,3,43
3,80,799,13,2688,268,2,1,57
2,80,371,28,2688,415,7,0,85
3,80,664,13,2688,13,2,1,36.68
2,80,407,17,2688,1707,3,2,100
3,51,232,13,1641,423,2,1,80.58
3,80,515,16,2216,656,3,1,101
3,26,506,13,1862,292,2,1,70
3,80,522,16,148,1070,3,2,140
3,80,715,13,2688,250,2,1,48.23
3,80,641,13,2688,182,2,3,40
0,80,335,16,2658,1265,3,3,205
0,80,678,13,2688,1674,1,0,22
0,80,554,24,2688,1652,6,3,250
3,80,699,16,58,747,2,2,105
0,36,522,19,774,1376,,,224.5
3,45,1261,13,1404,386,2,2,78
3,80,443,16,2688,385,2,2,60.8
3,80,415,16,1807,575,5,2,102
0,80,515,24,2688,1386,7,2,210
3,80,664,16,2688,752,3,2,88
3,25,358,13,2428,1886,2,2,37
3,80,670,13,2305,74,2,2,58.06
2,80,976,24,2688,1887,6,3,160
0,80,1033,13,1951,3,2,2,70
3,28,417,13,2688,3,2,1,28.88
3,80,7,16,2688,526,2,2,70
2,80,554,19,2688,239,4,2,155
3,15,1148,13,307,354,2,3,80
3,80,402,16,2688,619,3,2,90
2,80,688,19,760,1362,4,1,245
3,80,1041,16,2688,392,2,1,48
0,80,373,13,2688,239,2,1,65
0,80,1131,17,2688,239,3,1,90
3,80,1267,16,872,1260,3,3,138
0,80,304,13,993,1825,1,1,17
2,80,716,17,258,1208,2,1,150
3,80,475,13,1236,16,2,2,43
3,80,1065,13,1213,239,2,2,50
3,80,924,13,2688,2086,2,2,49.9
0,80,848,16,2688,718,2,1,98
0,80,976,16,360,728,3,2,229
0,80,591,13,2688,1932,2,2,55.68
3,38,365,13,1451,317,2,2,66.78
3,80,744,16,2688,884,3,3,120
3,80,283,16,1747,484,2,2,75
3,80,1252,13,2220,143,2,1,51.91
3,80,417,16,516,610,2,1,45.9
0,80,990,19,2688,1555,4,1,225
0,80,1039,17,409,1254,3,2,140
3,80,688,16,2557,619,2,3,64
3,28,1148,16,2688,509,3,1,74.75
3,32,786,13,2688,119,2,2,75
2,80,522,14,2688,1325,3,3,23
3,80,1148,16,1309,500,3,2,120
3,80,98,16,841,1055,3,1,200
3,33,513,18,1863,1413,4,0,477
0,80,1059,18,2688,1299,4,2,150
3,73,365,16,1941,341,2,2,68.52
0,80,635,13,2688,62,2,1,34
0,80,737,16,2268,686,3,2,65
3,74,1187,13,2688,2066,2,1,54
3,80,535,13,2414,577,2,1,78
2,80,1236,26,2688,2071,7,0,115
0,80,924,16,953,938,3,3,110
2,80,1038,17,896,686,3,1,75
3,80,417,13,918,2003,1,1,16.5
2,80,995,19,2688,239,4,0,210
3,80,722,16,2299,614,3,2,83
0,80,664,13,2675,2071,2,1,57
3,27,365,13,573,425,2,1,65
3,45,74,13,2545,54,2,0,54.005
3,34,271,16,2688,339,3,1,50.4
3,42,305,16,2451,317,2,2,85.05
0,80,522,28,2688,1708,8,,250
3,40,1261,21,1106,1409,5,1,213
3,80,670,16,822,647,3,1,105
3,80,554,13,2688,3,2,1,60
3,19,118,13,2640,202,2,1,43.76
3,80,1234,25,2688,1599,7,2,225
3,80,716,16,2208,905,3,,110
3,80,690,13,863,2014,2,1,35
3,80,222,16,611,699,3,3,46.74
2,80,376,24,2688,47,5,,185
3,38,837,16,321,799,4,2,91.31
3,80,665,13,2511,2077,2,1,58
3,34,5,16,2688,303,2,3,44
3,80,1034,16,292,1339,4,,235
3,80,549,13,1538,152,2,2,50
3,31,419,13,2346,31,2,1,30.6
3,80,641,13,2688,239,2,2,50
3,80,1148,16,2199,824,3,3,135
3,80,1148,16,705,1051,3,1,145
2,80,775,19,2688,1561,4,0,760
0,80,1258,16,2688,415,2,3,48
3,34,536,13,1892,78,2,1,32
3,80,695,16,618,963,3,1,150
0,80,1252,19,2688,1625,4,2,420
3,80,955,16,862,1019,3,1,175
3,28,1038,13,1035,177,2,0,43.49
3,80,1146,16,1377,498,2,2,75
3,80,417,16,719,577,2,1,64.5
0,80,417,13,719,74,2,1,60
0,80,581,16,1996,550,2,2,70
3,80,718,23,2688,358,6,0,99
3,80,152,0,944,1665,1,1,11
3,26,417,13,1534,185,2,1,64.5
3,80,417,16,719,415,2,1,56
3,80,292,16,2337,630,3,3,65
2,80,287,17,2688,577,3,2,100
2,80,727,22,2688,1784,3,2,85
2,80,853,1,2688,1598,1,0,14
3,80,786,0,2501,1883,1,2,67
0,80,417,13,719,1923,1,1,36
3,80,549,13,154,294,2,3,51
3,80,514,16,762,789,3,2,155
3,80,1148,16,2199,1101,3,2,145
3,67,1222,16,1920,793,3,2,110
3,80,417,13,719,84,2,1,52
2,80,75,17,2688,919,3,2,300
3,80,587,13,2688,404,2,2,55.7
0,80,417,13,719,39,2,1,46
3,80,626,13,1145,26,2,0,56.8
3,80,799,13,2527,239,2,2,52
0,28,664,19,2688,1149,4,1,110
3,80,922,16,1221,630,2,3,80
2,80,236,19,2688,239,5,,325
2,80,416,26,2688,884,7,1,250
3,80,799,13,91,239,2,2,60
3,80,1261,13,1683,387,2,2,98
3,80,716,13,2688,223,2,2,58
0,80,768,17,2688,869,3,1,115
3,80,494,16,1350,468,3,2,56
3,80,851,13,2688,2096,2,1,48
3,80,415,13,2688,344,2,2,82
3,80,752,16,2688,2034,2,1,70
0,80,1252,13,1993,273,2,2,47.6
3,80,1252,13,2688,90,2,1,53
0,80,635,16,1176,317,2,2,54
3,80,1261,16,1684,341,2,2,48.7
3,80,707,16,375,966,3,2,88
3,80,914,13,1539,424,2,1,87
0,80,856,13,2688,251,2,2,43.5
2,80,907,19,2688,825,6,0,190
3,58,27,18,2688,1355,4,1,428
3,80,654,16,649,681,3,2,65
0,32,892,16,2688,882,3,2,89
3,80,422,16,1854,553,3,2,78.29
3,80,1140,16,858,666,3,3,100
3,80,360,13,2415,353,2,1,65
0,80,772,24,2688,1535,6,0,141
3,80,417,0,921,1773,1,1,27
3,80,883,16,2688,486,3,3,78
3,28,1039,16,1037,873,3,2,98.29
3,80,1039,16,1037,873,3,2,125
3,80,713,16,1511,553,2,3,90
0,80,746,18,2688,1019,4,1,75.5
3,45,1039,13,218,2102,2,1,44.28
3,40,365,16,980,600,,,74.82
3,80,834,16,1197,1213,4,2,260
0,80,72,13,342,97,2,2,72
2,80,1065,14,2688,577,2,1,115
3,80,513,16,2688,959,3,2,119
3,39,404,13,2688,1949,2,1,22.14
3,80,278,13,1581,186,2,2,56.4
3,80,383,13,115,180,2,2,60
3,80,836,13,1102,134,2,2,55
0,80,417,13,1932,119,2,2,42
3,80,646,13,146,349,2,2,110
3,80,408,16,2688,577,2,1,65
3,26,214,13,2688,97,2,2,39
3,67,1222,16,1979,983,3,1,129
0,80,990,22,2688,1507,5,2,150
0,80,724,13,2688,74,2,2,60
3,27,304,0,2386,1821,1,1,16.45
2,80,828,28,2688,1288,8,2,180
3,37,304,0,2386,1821,1,1,16.45
3,80,147,16,1802,732,3,3,84
3,80,872,13,2396,344,2,3,72.5
2,80,417,17,2688,239,3,1,90
3,80,417,13,452,2031,2,1,40
3,80,716,16,316,664,3,1,70
2,22,820,17,2287,1607,3,2,280
3,80,889,16,902,1219,3,2,185
3,80,304,13,993,1945,1,1,20
0,80,116,13,2688,74,2,2,55
3,80,72,13,335,329,2,2,93
3,32,1076,13,2688,2021,2,2,22.5
0,80,732,14,2688,339,2,1,69
2,80,533,19,2688,239,2,0,95
0,80,1039,13,2688,39,2,2,36
3,20,417,13,1534,132,2,1,63
2,80,763,22,2688,239,5,,170
3,80,345,16,383,1408,3,2,170
2,80,110,19,2443,1363,3,2,300
3,80,1222,16,927,577,3,2,75.5
3,80,972,13,806,353,2,2,43.9
3,80,278,13,1581,197,2,1,59.9
3,80,1039,13,2500,48,2,2,49.2
0,80,152,19,1383,686,4,0,52.8
3,80,628,16,2688,543,3,2,46
3,36,522,16,493,935,2,2,61.58
3,80,451,13,955,1876,1,1,26
3,80,641,16,1573,886,3,2,120
3,80,1038,13,2688,2035,2,1,32
3,63,1141,16,2171,937,3,2,131
0,80,690,13,2688,2006,2,1,45
2,80,1121,14,2688,2021,2,1,110
3,80,707,16,2688,751,2,3,73.95
3,80,515,16,2197,1037,3,2,132
3,80,188,13,2179,256,2,1,80.9
2,80,820,19,2287,1616,4,2,250
3,80,635,16,117,851,3,3,91.45
3,80,606,16,481,306,3,3,55
0,80,461,13,1285,1990,2,1,34.5
0,80,72,16,342,494,2,1,100
2,80,1105,24,2688,526,6,0,250
0,80,422,16,736,567,3,1,78.8
3,80,268,16,2688,90,2,1,46
3,27,896,16,1957,498,2,2,94
0,80,641,13,1366,239,2,1,40
3,80,637,16,2688,339,2,2,56
3,80,1080,13,302,101,2,2,50
3,31,304,13,2386,25,2,2,25.88
3,69,664,13,777,28,2,1,51.25
3,80,506,13,2688,41,2,2,44
3,80,419,13,475,83,2,2,45
3,80,513,13,1554,413,2,1,98.2
3,80,77,13,1367,13,2,1,50
3,80,584,13,211,488,2,3,75
2,30,1138,17,2688,553,3,1,98
1,80,810,13,1846,2071,2,2,47
3,80,954,18,1536,1019,4,0,120
2,80,453,17,2688,2003,3,1,140
3,80,1039,18,89,932,3,2,104
3,80,1084,13,1571,19,2,1,29.5
3,80,641,16,2097,498,2,1,70
3,80,1222,16,2408,526,3,0,100
3,80,716,16,2208,920,3,2,105
3,80,80,13,2231,119,2,3,45
3,52,664,0,1530,1727,1,1,26
3,80,783,16,1661,752,3,2,95
3,80,231,18,1604,751,4,3,65
3,80,575,16,1212,921,3,3,150
3,80,914,13,2561,512,2,3,100
3,80,1122,16,1231,643,3,3,115
3,26,1261,13,2688,415,2,1,55.55
3,80,664,16,935,630,3,3,67
3,26,785,13,2688,170,2,2,46.5
2,80,1105,22,2688,239,5,2,180
3,28,700,13,2688,1979,2,2,27
3,80,1252,13,795,339,2,2,75
0,80,832,13,2688,205,2,2,52
3,80,826,13,1671,137,2,1,51
3,80,522,13,1305,454,2,1,83.09
3,26,417,13,1534,156,2,1,65
2,80,799,14,2688,239,2,2,128
2,80,99,19,2688,239,4,3,165
3,80,976,16,1509,1203,3,2,415
2,80,453,19,2688,1208,4,1,400
3,80,506,16,1351,543,3,2,56
3,80,788,13,2688,239,2,2,55
3,80,678,13,50,239,2,2,52
3,80,638,16,287,182,2,1,55
0,80,224,16,916,733,3,2,95
3,57,1039,13,2688,3,2,1,67
2,80,506,19,2688,1299,4,2,198
3,80,67,13,816,230,2,2,74
3,80,1176,16,982,1097,3,2,215
3,40,1252,13,1443,208,2,1,58
0,80,1179,13,2392,31,2,2,45
3,80,1153,18,1635,1426,6,2,230
3,80,1089,16,2688,686,3,3,64
2,33,1136,14,2688,239,2,0,79
1,80,830,13,2688,278,2,3,48
3,80,5,13,444,303,2,2,40
3,80,641,13,1651,385,2,2,76
0,80,72,16,341,921,3,1,150
3,63,664,0,1530,1727,,,21.53
3,80,225,13,2688,239,2,2,65
2,80,279,17,2688,415,2,0,140
3,32,270,16,1887,317,3,1,49.36
3,80,939,16,2577,884,3,0,150
2,28,1126,17,1560,118,3,2,74
0,80,139,13,1307,119,2,1,43.25
3,80,509,13,2264,587,2,1,77
1,80,1032,16,1658,678,3,2,75
3,80,98,13,1960,456,2,3,57
3,34,419,0,1853,1814,1,1,28.35
2,80,953,17,2688,1019,3,2,365
3,80,207,16,2688,851,3,1,125
3,63,186,13,2688,2071,2,2,50
3,80,705,18,2185,1455,5,3,335
3,27,772,13,2670,143,2,1,50
3,80,869,13,190,367,2,2,89.04
3,80,768,16,2688,239,3,0,90
2,80,266,19,2688,577,4,2,230
0,80,216,0,2688,1707,1,1,18.5
3,80,518,13,1842,90,2,1,52
3,33,304,0,2131,1731,1,0,11.66
0,80,236,13,2688,248,2,3,66
3,80,62,13,1260,90,2,2,60
0,80,626,13,868,2051,2,2,39
3,80,188,13,672,449,2,1,60
3,80,513,18,1554,1248,5,2,212
0,80,703,13,2114,201,2,2,55
3,80,216,13,1363,62,2,1,65
3,45,463,16,2240,1034,3,2,275
3,80,232,13,575,239,2,2,46.8
3,80,745,16,1653,686,2,1,108
3,80,264,16,1227,985,3,2,110
3,34,74,0,1219,1668,1,0,29.9
3,80,417,16,2105,884,3,2,95
3,34,589,16,2051,468,3,0,77
3,80,515,16,2197,885,3,2,115
0,80,773,13,1386,529,2,,90
2,42,126,14,2688,239,1,1,36
3,80,232,13,575,193,2,2,44
0,80,688,13,2688,3,2,1,25
3,80,664,13,2675,2071,2,1,40
0,52,531,16,2688,717,3,2,79
0,80,1222,16,2688,666,2,0,134
3,67,1222,16,1979,903,3,2,121
0,80,72,13,625,297,2,1,94
3,80,972,13,1099,176,2,2,45.79
3,80,1091,13,2378,1962,2,1,33
3,27,1267,16,203,783,3,3,108
3,80,422,13,474,139,2,2,53
0,80,144,13,2525,540,2,1,58
0,80,396,13,1789,62,2,1,32
0,80,382,13,2470,317,2,2,55
3,80,617,23,2688,1876,3,,120
0,80,544,13,2463,745,2,1,120
3,80,304,16,2567,252,3,1,45
3,80,1252,16,337,967,3,2,161
3,80,1252,18,827,1455,4,1,230
2,80,230,14,2688,239,2,1,65
3,80,458,18,2688,239,4,1,175
3,80,72,13,335,210,2,1,82
2,80,647,14,2688,3,2,0,165
2,80,216,19,2688,239,2,0,125
3,80,976,16,1509,1203,3,2,410
3,42,976,25,2688,243,6,3,2200
2,80,1118,14,2688,1747,1,1,62
3,80,688,0,2688,1482,1,0,18.5
3,80,1035,13,869,222,2,,38
3,80,688,13,2513,1909,2,1,38
2,80,775,24,2688,239,7,3,250
3,80,664,16,935,630,3,3,64.5
0,80,112,16,859,849,3,2,88
3,80,264,13,228,152,2,2,62
2,80,848,17,2688,415,3,2,150
2,16,118,14,2688,3,2,1,55
0,27,271,13,2688,107,2,2,31.48
2,80,1138,14,2688,239,2,0,60
3,80,278,16,1581,1012,4,2,103
3,36,270,13,536,74,2,1,26.5
3,80,108,13,1801,128,2,1,75
0,80,530,13,578,2103,2,2,67
2,80,304,24,2688,613,5,3,85
3,19,188,16,851,676,3,2,79
3,80,292,13,2337,147,2,2,55
3,80,1028,13,1868,83,2,1,55
3,80,799,16,1576,983,3,2,140
0,10,544,13,1657,232,2,0,69
3,80,277,13,560,182,2,3,69
3,80,1264,13,2688,292,2,2,47.12
3,80,972,13,806,490,2,2,48.1
2,80,72,28,2688,239,8,,250
3,80,1006,16,319,1104,4,,240
3,80,1116,16,1175,526,3,2,55
3,31,1173,16,1516,718,3,2,68.29
3,80,358,13,2428,1886,1,1,40
2,80,670,17,2688,3,4,3,110
2,80,1252,19,2688,227,4,3,700
3,80,236,13,1430,303,2,1,76
3,80,72,16,342,468,2,1,95
3,80,1039,16,2688,757,2,3,57
3,80,139,16,2251,838,3,2,100
3,80,1242,13,1589,474,2,1,71
3,80,530,16,1844,803,2,2,95
0,26,417,0,1534,1814,1,1,34.65
3,80,509,16,2237,842,3,2,135
3,80,549,16,2688,737,3,2,78
3,80,972,13,806,353,2,1,55.47
2,80,453,17,286,884,3,2,252
3,37,1039,13,1649,410,2,1,74.03
2,80,1154,19,2688,239,4,2,200
3,80,535,13,627,182,2,2,55
0,80,321,19,785,1470,4,3,325
3,34,304,16,2386,228,2,2,30.35
3,80,80,16,549,707,3,2,98
3,26,799,13,2688,2071,2,1,46.96
3,80,15,5,286,1708,9,3,360
3,80,509,16,2264,1233,3,0,120
3,34,419,16,2346,268,2,1,35.23
3,80,547,13,1693,1979,2,1,30
0,80,907,13,2688,31,2,2,63
0,80,326,13,2688,119,2,2,50
3,80,362,13,2585,182,2,2,126
3,28,513,16,1217,849,2,2,130
3,80,108,16,2688,884,3,3,110
3,80,98,13,2688,84,2,1,54
2,80,43,19,2688,577,4,2,220
2,80,1216,14,2688,514,2,0,95
3,80,114,13,1622,2021,2,1,40
0,80,555,18,2688,239,4,1,230
3,34,1252,13,1850,158,2,1,42.16
3,80,713,13,1616,380,2,1,165
3,44,704,13,2688,329,2,1,98
0,80,920,13,2348,239,2,1,62
3,80,1007,18,2688,1690,4,,235
3,80,842,13,2688,239,2,1,74
3,80,1115,13,1584,2049,2,0,50.17
0,80,954,18,1120,182,4,2,260
2,80,223,19,2688,152,4,3,180
2,80,686,22,2688,1707,3,2,65
2,80,47,22,291,239,5,2,190
3,80,628,16,2688,543,3,2,56
3,80,72,18,2688,1535,4,3,400
2,80,213,19,2688,1019,4,2,99
3,80,326,13,2688,252,2,1,49
3,80,514,13,2669,158,2,2,60
3,80,1125,16,2515,843,3,2,120
3,80,896,21,331,1666,7,3,337
2,80,212,17,2688,1784,3,2,58
3,75,530,13,757,235,2,2,94.42
0,80,62,13,1553,182,3,3,52.5
3,26,417,13,1534,156,2,1,63
3,80,900,13,2077,3,2,1,53
3,80,1261,13,171,48,2,1,45
0,80,694,13,2688,2071,2,1,32
3,80,268,16,1582,90,2,1,36
3,80,1252,13,1896,52,2,1,48.5
2,24,797,14,2688,1896,2,1,45
3,80,757,16,2186,591,3,1,95
0,80,1079,16,2688,358,3,1,58
3,40,530,16,390,624,3,1,68.75
0,80,1059,0,2688,1560,2,0,26
3,80,1216,13,2688,76,2,3,38
3,80,631,13,2688,141,2,1,40
3,80,575,13,552,3,2,1,35
3,22,650,13,1626,2006,2,1,45
3,38,1039,13,323,233,2,1,70
2,80,172,19,2688,239,3,1,165
0,80,816,1,2688,1876,1,0,41
3,80,1242,13,1589,298,2,1,67
2,80,74,19,2688,1835,4,2,90
2,80,203,19,2688,1982,4,2,145
3,80,671,18,2688,686,4,1,80
3,28,506,18,1862,1343,5,3,154
3,80,232,16,2688,669,3,,65
2,80,1053,19,2688,1386,5,1,275
0,80,544,16,2688,210,2,2,48
0,43,1266,16,2688,681,3,2,115
3,80,1183,13,1436,418,2,2,110
3,26,417,16,1534,684,3,2,125
3,80,1252,13,2360,182,2,1,70
3,16,584,18,1105,1724,6,1,465
3,80,626,13,951,188,2,2,42.74
0,80,570,0,2688,239,2,0,85
3,31,419,13,2688,3,2,1,25
3,80,1148,18,2688,1386,4,,120
0,80,986,16,1676,936,3,1,160
3,32,987,13,2649,305,2,1,47
3,26,444,13,175,42,2,1,45.5
3,80,142,13,142,270,2,2,45
3,80,216,16,1859,205,2,1,66
3,80,513,16,1006,1208,4,1,245
3,80,994,16,2688,454,2,2,48.48
3,80,494,13,2309,441,2,1,68
3,80,772,16,313,341,2,2,49
3,80,822,29,143,1708,9,3,210
0,80,70,22,2688,1386,3,1,528
3,80,664,13,2056,164,2,1,39.73
0,52,1252,16,2688,857,3,2,101
0,80,283,16,690,385,2,1,90
3,26,417,16,1534,684,3,2,99
2,33,1252,17,2688,577,3,1,61.95
2,80,40,17,2688,1290,3,0,499
3,80,1179,13,2688,345,2,2,63
0,80,653,21,2688,1353,5,1,140
3,80,616,16,93,686,2,,50
3,37,522,13,2111,234,2,0,63.77
3,80,513,16,334,1497,5,2,260
3,26,832,13,1944,125,2,2,53.67
3,80,1261,13,1962,415,2,2,54
3,80,194,16,2688,239,2,2,42
2,80,536,24,2688,358,6,0,145
2,80,523,14,2688,884,1,1,80
0,80,319,13,2688,2071,2,1,40
3,63,664,0,1530,1727,1,1,27.25
0,80,152,13,946,1833,2,1,25
2,80,799,19,2688,867,4,3,175
3,80,47,13,880,70,2,1,80
3,64,216,0,843,1776,1,1,33.32
0,80,570,13,2688,97,2,2,50
3,40,72,16,1654,1138,3,1,160
3,27,270,13,536,154,2,1,28.15
3,80,422,16,736,567,3,1,84
2,80,493,19,2688,1019,4,1,300
3,80,1039,16,1666,630,3,3,100
3,80,1305,16,801,686,3,2,86
0,80,149,13,2688,193,2,1,55
0,80,1252,19,1520,1618,4,3,315
3,80,1039,16,2397,1076,3,2,125
3,80,1242,13,1589,474,2,1,69.3
2,80,1039,19,1082,1139,4,3,225
3,80,800,16,2688,623,3,,120
3,34,203,16,1568,364,2,1,58.7
3,80,799,13,36,278,2,2,80
2,80,1136,14,2688,239,2,0,65
3,80,509,16,2688,540,3,1,73
2,79,1039,31,227,242,,,34.185
0,80,466,13,2688,2087,2,3,45
0,80,283,1,2688,1737,1,1,36
3,40,535,0,1045,1892,1,2,46
3,80,1252,16,2460,1258,3,2,313
3,80,406,16,1655,665,3,1,180
3,80,837,13,2688,31,2,1,48.95
3,80,606,13,2686,31,2,1,40
3,80,713,13,159,307,2,1,102
3,80,574,13,24,215,2,2,42
3,80,879,13,2630,2082,2,2,38
0,80,658,16,2688,490,3,3,75
3,80,509,16,2207,798,3,2,150
2,80,917,14,2688,686,2,0,115
3,31,1205,0,2688,1619,1,1,18.5
1,80,1033,13,2688,119,2,2,98
3,80,494,16,2688,503,2,1,65
3,80,1087,13,555,317,2,2,45
0,80,955,16,548,718,3,2,85
3,46,1039,16,2191,302,3,2,44.71
3,80,641,16,1254,526,2,3,85
3,23,708,16,1535,1337,3,1,223
3,80,541,0,2688,1784,1,0,90
0,80,149,0,1005,1970,1,1,60
2,80,389,17,2688,152,4,1,70
3,80,142,16,2688,1054,3,2,140
3,42,786,25,2688,243,7,3,2200
0,80,466,13,602,2015,2,1,25
3,80,972,13,806,160,2,1,49.07
0,80,268,16,1582,90,2,1,37
3,34,1052,18,2688,1386,5,2,260
2,80,277,19,2688,1230,5,2,425
0,80,1216,13,2688,239,2,2,55
3,80,1148,13,2688,90,2,2,45.8
3,80,637,13,2688,170,2,2,40
2,80,803,22,2688,2060,4,2,150
2,80,556,24,2688,1109,5,1,250
3,80,972,13,1797,107,2,1,42
0,80,948,19,2688,577,4,1,70
3,80,1252,18,2688,1614,4,2,360
3,80,1252,16,2688,876,3,,100
3,28,513,16,1217,974,3,2,134
0,80,493,13,633,443,2,2,95
1,80,216,16,2688,520,3,2,95
3,40,658,0,773,1888,1,1,36
3,80,1168,16,2239,577,3,3,95
3,80,1252,16,795,809,3,3,100
3,80,1196,16,2688,468,3,2,60
0,80,731,13,2688,43,2,2,49
3,80,837,13,1602,239,2,1,85
1,31,537,16,1353,444,3,2,70
2,80,515,14,2688,62,1,,56
3,80,589,16,2425,1149,3,2,160
3,80,236,13,2330,3,2,2,50
3,80,591,0,1603,1681,1,0,25
3,80,799,18,1660,1568,4,3,250
3,80,650,13,1626,2006,2,1,29
3,80,433,16,424,899,2,3,86
0,80,1084,16,2688,514,2,3,65
3,80,1291,23,2688,1535,4,1,160
0,80,786,18,737,1258,5,2,325
3,27,773,13,2688,273,2,2,48
2,80,69,17,2688,1599,3,1,660
1,80,326,13,2688,2000,2,3,52.8
3,80,590,0,2103,1909,1,2,40
3,80,67,13,2688,215,2,3,80
3,80,506,13,2688,232,2,2,47
3,80,522,16,2688,577,2,2,62
3,80,929,13,2688,193,2,2,52.2
0,80,142,30,2688,1617,9,,265
3,80,539,16,2427,1197,3,1,262
3,80,1038,13,88,156,2,1,60
3,80,513,16,411,577,3,1,150
0,27,552,16,2688,268,2,1,35.23
3,80,1039,13,2688,256,2,2,58
3,60,664,16,1530,119,2,1,58
3,80,270,16,2589,239,3,2,46
0,33,506,18,1862,1481,5,,260
3,80,856,16,529,729,3,2,66
3,80,533,13,2688,239,2,1,45
3,80,972,13,1378,317,2,1,67.39
3,80,773,16,2688,809,3,3,78
3,80,1261,13,1736,148,2,0,48.13
3,80,1261,13,1684,256,2,1,45.98
0,80,563,19,2688,1128,4,2,200
3,80,268,16,1582,90,2,1,45
0,80,1148,16,2199,791,3,2,130
3,80,1061,13,1239,718,2,2,200
3,80,972,13,806,172,2,2,38.55
3,26,1065,16,2688,1060,3,2,108
3,28,575,21,1500,1653,,,375
0,80,523,17,2688,239,2,0,70
3,80,1145,16,2688,415,3,0,77
0,33,245,19,2457,1419,4,0,445
3,28,1104,16,2688,215,2,2,78.34
0,80,1261,16,622,1509,3,3,130
3,80,752,13,2688,420,2,2,115
2,80,1119,1,2688,1784,1,0,50
2,80,535,26,2688,239,7,,150
3,80,216,16,2688,728,2,1,120
2,80,286,22,2688,239,5,0,100
3,80,702,16,2688,228,2,2,57
2,80,889,19,2688,1208,4,2,375
3,80,799,13,2688,30,2,2,49.85
3,80,109,16,1695,941,3,2,165
3,34,98,16,2688,303,3,2,40
2,80,277,17,1066,239,3,2,140
3,80,1252,13,1462,170,2,1,56
3,80,757,16,2186,770,3,1,109
3,80,637,16,776,594,3,,83.3
3,40,530,18,390,1087,4,2,111
0,80,216,19,2688,449,3,0,58
3,80,1191,13,2688,100,2,2,61.75
2,80,130,14,2688,1784,2,1,55
0,80,156,16,2182,1172,3,3,120
3,80,934,13,1180,292,2,2,60
3,80,1125,16,2515,838,3,1,120
3,26,1021,13,2688,278,2,,43.48
2,15,129,17,2688,577,3,1,139
3,80,86,13,1840,2103,2,1,40.39
2,80,1165,17,839,577,2,1,87
0,28,417,13,2688,152,2,1,32.49
0,80,810,13,1846,2071,2,1,44
3,28,575,21,1500,1654,,,548.5
3,80,716,16,2688,666,3,3,76
2,80,160,17,2688,109,2,1,98.5
0,31,419,13,2346,107,2,1,28.34
0,45,522,17,2688,1155,3,1,159
3,39,404,16,2688,46,2,2,25.53
3,26,654,13,1612,1952,2,2,24.5
3,80,473,13,1471,57,2,0,45
