Q1-Location,Q2-Price,Q3-Rooms,Q4-Other rooms,Q5-Bathrooms,Q6-Car Parks,Q7-Property Type,Q8-Furnishing,Q9-Size
17,1800000,2,,2,1,16,1,1244
11,3600000,4,2,6,,3,1,4090
11,2300000,4,1,5,2,3,2,2702
18,,,,,,,,
1,4000000,3,1,3,2,12,1,2250
9,4800000,5,,6,3,11,2,4300
9,3780000,4,1,5,4,3,2,3628
19,,,,,,,,
13,850000,2,1,2,1,1,1,1050
11,1850000,3,1,4,,11,2,2347
1,1698800,2,,2,1,10,1,1227
16,999000,4,1,4,2,15,2,2512
20,3500000,1,,1,1,1,2,1648
1,1500000,2,,2,1,14,1,1022
1,2300000,1,,2,1,10,2,1023
11,1830000,3,1,4,2,3,2,1830
18,750000,4,,3,3,17,2,24
21,580000,4,1,2,2,3,2,1550
1,3000000,3,1,3,3,1,,2066
11,2180000,4,1,4,3,3,2,3000
22,,,,,,,,
1,2030000,3,1,5,2,11,1,2356
11,3450000,4,1,6,3,11,1,3720
17,,,,,,,,
23,4080000,4,1,5,2,3,2,3713
6,2880000,4,1,3,4,18,2,4244
1,1799000,1,,1,1,1,1,720
24,,,,,,,,
1,1820000,2,1,2,2,3,1,1159
1,1000000,3,1,3,2,14,2,1313
1,1650000,3,1,5,2,3,1,1905
2,,,,,,,,
1,2300000,1,,1,2,1,2,1023
11,2400000,4,1,5,3,11,2,2702
1,2055000,1,1,1,1,10,2,797
1,1714000,1,,1,1,10,2,700
5,620000,3,,2,,12,2,1232
5,1720000,6,1,7,,19,3,3033
1,2300000,3,1,4,3,14,2,3282
5,920000,4,1,3,2,11,2,1513
1,2300000,1,,1,2,10,2,1046
6,4995000,5,1,7,6,2,2,8113
11,1850000,4,1,4,2,11,2,1830
4,,,,,,,,
1,1783000,2,,2,1,11,2,976
3,1180000,3,1,4,1,12,2,1942
4,,,,,,,,
5,900000,4,1,3,2,3,2,1513
23,1700000,2,1,2,1,10,1,1442
1,850000,1,,2,,1,1,761
24,,,,,,,,
2,6800000,5,2,7,,2,,7000
11,3100000,4,1,6,3,3,1,3400
5,630000,2,,2,2,1,2,791
25,,,,,,,,
26,2040000,5,1,5,4,19,2,32
1,1780000,1,,1,1,14,1,728
12,2850000,3,1,3,,15,2,3211
12,1050000,2,1,2,2,11,2,1389
11,2600000,4,1,4,3,11,2,3041
13,630000,1,1,1,1,1,2,663
1,3364000,2,1,2,2,1,1,1399
5,978000,4,1,3,2,11,2,1513
1,3600000,3,1,5,2,14,2,3897
1,3600000,3,1,5,2,14,2,3897
1,2000000,1,,1,1,1,1,1087
11,1630000,4,1,4,2,11,2,2065
15,,,,,,,,
1,1250000,2,,2,1,11,2,736
27,,,,,,,,
13,630000,1,1,1,1,1,1,650
1,1350000,2,,2,1,1,1,1050
13,490000,1,,1,1,10,1,500
21,,,,,,,,
13,800000,2,,2,1,14,2,825
12,1980000,3,1,4,,17,2,2200
3,1035000,3,1,5,2,11,4,1853
20,,,,,,,,
1,1000000,1,,1,1,13,1,657
16,448800,3,,3,1,10,3,1045
2,4900000,5,1,6,,4,1,3700
11,2480000,4,1,5,3,3,2,3041
20,2716000,3,1,4,2,14,2,2227
20,1480000,3,1,3,,3,1,1544
28,9500000,6,1,7,6,9,2,10000
1,8343600,3,,3,2,12,,2454
29,500000,2,,2,1,14,2,715
2,13800000,5,1,7,3,9,2,7500
5,,,,,,,,
1,3600000,4,,4,,14,2,3897
11,2480000,4,1,5,3,11,3,3041
1,3500000,3,,3,1,1,1,1560
11,2200000,4,,4,2,11,,2243
1,3600000,3,1,4,2,14,1,3897
5,1060000,4,1,4,4,3,2,1772
5,900000,4,1,3,3,3,2,1513
1,1850000,3,,1,1,3,2,2174
19,668000,3,1,3,3,3,1,1345
1,1050000,2,2,3,2,10,1,1313
14,509000,2,,2,1,1,,797
12,3170000,4,1,5,,15,2,4306
12,3400000,5,1,6,,15,3,5448
1,2998000,3,1,3,2,12,2,3218
1,2580000,3,1,3,2,12,2,2809
12,5600000,7,1,9,,20,2,7000
12,1260000,2,1,3,,12,2,1485
12,1990000,3,1,4,,6,2,2500
26,920000,5,,3,,21,2,20
11,2100000,4,,4,,12,1,2441
1,1100000,2,,2,1,14,1,880
1,3600000,4,1,3,2,22,2,3897
1,2900000,3,1,4,3,11,1,2809
19,670000,3,,2,2,11,2,1085
12,1370000,3,1,3,,11,2,1572
12,3480000,4,1,5,,23,2,3450
12,1350000,2,,2,2,12,2,1292
1,2300000,1,,2,1,1,2,1023
1,1900000,2,,2,1,11,2,915
1,1450000,2,,2,2,14,1,1090
1,1300000,1,,1,1,1,2,925
1,3600000,3,,4,2,14,2,3897
6,5350000,6,,5,3,2,2,7200
5,1050000,4,1,4,4,11,2,1772
5,1200000,5,1,4,4,11,2,1930
5,900000,4,1,3,2,11,2,1513
2,2251800,2,1,4,2,1,2,1668
5,998000,5,1,5,4,24,2,1650
11,1550000,3,1,4,2,11,2,1496
21,780000,3,,3,2,3,2,1368
12,1380000,2,,2,2,12,2,1292
12,1798000,3,1,3,2,15,2,2200
1,1300000,1,,1,1,1,,925
1,1268000,3,,3,1,3,1,1619
1,2600000,3,1,4,3,11,1,2809
1,4200000,3,1,4,2,14,2,2195
1,3330000,2,1,3,1,14,1,2789
1,2600000,2,,2,1,10,1,1184
1,1950000,1,1,2,1,10,2,1076
19,900000,3,1,4,3,11,,1381
1,1400000,2,,2,1,14,1,1050
2,6500000,6,,5,4,2,2,7200
11,1800000,4,,4,2,11,2,1830
22,3800000,4,1,5,4,9,2,4067
13,350000,1,,1,1,25,,495
1,3600000,3,2,5,2,22,4,3897
6,1790000,4,,3,,6,2,22
30,635000,3,1,4,2,3,2,1643
29,530000,2,,2,,1,,715
1,5070000,3,1,4,3,14,2,2142
17,1177000,2,,1,1,10,2,717
31,468000,3,,2,2,1,2,
6,3000000,3,,2,,26,2,5700
32,700000,3,,2,2,11,2,1152
9,3710000,4,1,5,,11,2,3369
11,1900000,3,1,4,,11,1,2411
11,3785400,5,1,5,3,27,2,3907
1,1300000,2,,2,2,11,1,871
19,960000,3,1,4,2,3,3,1488
17,490000,4,,2,2,11,3,1065
11,4200000,5,1,5,3,3,2,3709
1,1450000,2,,1,1,28,1,1050
12,2380000,4,1,4,3,3,1,2454
12,1350000,2,2,3,2,3,,1389
1,1800000,4,1,5,,11,,2315
5,1210000,5,1,6,4,15,2,3400
6,4995000,5,1,7,6,7,2,8113
11,1900000,4,1,4,2,3,2,1830
1,2700000,2,,2,2,1,2,1195
1,6300000,3,1,4,2,14,2,2195
32,350000,3,,2,2,1,2,
1,1900000,2,1,2,1,11,1,915
1,3000000,4,1,5,3,11,2,3218
21,240000,3,,2,1,11,,850
1,1300000,2,,2,,3,1,871
1,1000000,1,,1,1,13,2,751
1,1000000,1,,1,1,13,2,751
1,2000000,2,1,2,1,14,1,1350
1,6380000,3,1,4,2,14,2,2195
11,2480000,4,1,6,,11,2,2702
31,676775,3,1,3,4,10,2,1265
11,2280000,4,1,5,,11,2,2702
11,1830000,4,1,4,2,3,2,1830
23,1750000,2,1,3,1,1,2,1442
12,1780000,3,1,3,2,6,1,2400
26,3380000,5,,4,,8,2,4050
5,1200000,5,1,4,4,3,2,1930
1,2300000,1,,2,1,1,2,1046
1,2300000,1,,1,2,10,2,1046
11,1600000,3,1,3,2,11,2,1878
11,1291000,5,1,4,3,11,2,2069
1,880000,1,,1,1,1,1,710
14,655000,3,1,2,2,14,2,1094
11,2150000,3,1,5,3,11,,2700
11,1400000,3,1,4,2,11,2,1496
1,7975250,4,1,6,2,22,1,2975
11,1100000,3,,2,2,11,2,1200
1,1238000,2,,2,1,11,2,736
13,750000,2,,2,1,10,2,823
2,2100000,3,1,4,2,3,2,2153
5,900000,4,1,4,,11,,1513
11,1500000,3,,2,2,11,1,1200
11,2300000,4,1,6,3,3,2,2702
1,1000000,2,1,2,,1,2,777
1,990000,2,2,3,2,14,1,1313
1,3960000,3,1,4,2,14,2,2195
1,2700000,2,,2,2,14,1,1184
1,1900000,1,1,2,1,10,1,1087
12,5460000,7,1,9,6,20,2,7000
1,2050000,3,1,5,2,11,1,2356
13,1121800,2,1,2,1,1,1,1200
1,1506300,2,,1,1,10,1,1020
22,1530000,3,1,3,2,3,1,2095
33,3680000,7,,8,4,9,3,6300
1,3600000,3,1,5,2,14,2,3897
11,2300000,4,1,5,,11,2,2906
34,14800000,4,2,6,4,2,1,8611
12,1480000,3,2,4,2,3,2,1917
13,1050000,3,,2,2,12,1,1485
1,1158200,1,,1,1,12,2,
35,1200019,2,,2,1,3,2,577
4,780000,4,1,4,,9,,5320
1,1999000,2,,2,1,10,,1271
11,1820000,4,1,4,2,3,2,1830
9,3700000,4,1,5,2,3,,3628
11,1420000,3,1,4,2,11,2,1499
11,1830000,4,1,4,2,11,2,1832
1,1680000,3,1,2,3,11,1,1159
1,2210000,3,,3,2,11,1,1502
1,1420000,2,,2,1,12,1,976
1,3600000,4,1,5,2,14,2,3897
1,1238000,2,,2,1,11,2,736
11,2230000,,,,3,11,,2973
1,1420000,2,,2,1,11,,
1,1139000,1,,1,1,11,2,751
1,2930000,2,,2,2,14,1,1114
12,1580000,3,,3,,15,2,1900
2,1620000,1,1,2,1,1,2,1194
12,1300000,2,1,3,2,12,2,1367
28,8000000,7,,7,6,9,2,10600
2,6500000,5,1,4,6,9,2,7880
12,1200000,2,,2,,29,2,1400
22,1600000,3,,2,2,29,2,2400
12,1730000,3,1,3,2,3,1,1690
12,1500000,3,1,2,2,12,1,1346
12,2800000,3,1,4,,15,2,1302
12,3280000,4,1,4,,7,2,3200
12,1500000,3,1,3,2,12,2,1400
12,5500000,6,1,8,,20,2,2805
12,1180000,2,1,3,2,11,2,1507
12,2300000,4,,3,,6,2,1826
12,1950000,3,1,3,,6,1,2300
1,2950000,3,1,4,2,3,2,2674
13,490000,1,,1,1,1,1,520
1,3090000,2,,2,2,1,2,1572
12,3600000,5,1,6,,30,2,65
1,1230000,3,1,4,2,14,1,1378
14,350000,3,,2,1,1,2,950
1,1230000,1,,1,1,10,1,850
12,1250000,2,1,2,2,12,2,1303
12,1100000,2,1,3,2,12,3,1378
18,2800000,4,1,6,4,9,2,5628
1,3600000,3,1,5,2,14,2,3897
9,5900000,4,1,5,3,11,,4000
1,3900000,2,,2,2,1,2,1636
1,1300000,1,,1,1,28,2,925
1,1240000,1,,1,,10,1,850
5,438000,3,,2,1,31,2,1018
14,530000,3,1,2,1,14,2,900
36,590000,3,,2,2,12,2,1196
33,560000,1,,1,1,1,2,
1,1000000,1,,1,1,11,2,751
1,1900000,2,1,2,1,3,2,915
1,11394000,3,1,5,4,22,1,
1,2400000,2,,2,1,1,1,1006
21,380000,3,1,2,2,11,3,950
1,1198000,1,1,1,1,14,1,764
22,12000000,6,1,6,4,2,2,11500
1,1780000,1,,1,1,1,1,728
37,5900000,6,1,8,,9,2,12722
1,2300000,1,,1,1,1,2,1023
1,1000000,1,,1,1,11,2,751
1,800000,2,1,3,1,14,1,1055
16,1340000,4,1,6,,15,3,3216
1,3600000,3,1,5,2,14,2,3897
24,6000000,4,1,5,2,14,2,4157
1,1250000,3,1,4,2,28,1,1378
1,2300000,1,,2,1,1,2,1023
5,900000,4,1,3,3,3,2,1513
11,1850000,4,1,4,2,12,2,1830
1,2400000,2,,2,1,1,2,1006
32,1613300,3,1,5,3,11,2,2336
1,2440000,1,,2,1,14,1,1023
2,5000000,3,1,3,4,9,2,7700
34,7300000,6,,6,6,9,2,7300
5,530000,3,,3,2,12,2,
1,3200000,2,,2,1,1,,1572
11,1850000,4,1,4,2,12,2,1830
20,783990,1,,1,1,1,2,650
25,495000,1,,1,,10,1,560
38,569200,1,1,2,2,1,3,888
6,1150000,3,,2,1,3,2,1560
5,425000,4,,2,1,12,2,1087
22,10000000,5,1,7,5,3,2,6913
11,1800000,3,1,4,2,3,2,2243
22,6670000,4,1,6,,11,2,4771
15,580000,3,,2,1,3,2,1590
11,618000,1,,1,1,10,1,650
11,1518000,3,1,3,3,3,2,2648
11,2220000,4,1,4,3,11,2,2973
1,3600000,4,,4,2,14,1,3897
6,3100000,4,1,4,3,4,2,3600
22,4900000,7,,4,4,7,2,11676
11,1950000,3,1,4,3,11,1,2535
12,3200000,4,1,4,,32,2,4300
1,3600000,3,1,4,2,14,2,3897
16,600000,2,1,2,2,10,2,1025
23,4130000,4,1,5,2,3,2,3713
20,2300000,3,1,4,2,1,,1873
20,5149700,4,1,5,,1,,2982
20,5129000,4,1,4,,1,,3143
1,1780000,3,,3,2,11,1,1232
5,900000,4,1,3,3,3,2,1513
5,597000,4,,2,2,11,,1550
22,6380000,3,1,5,3,3,2,4025
22,6900000,4,1,6,3,3,2,4945
14,660000,3,,2,2,3,2,992
1,3125000,1,1,2,2,10,2,1421
1,2480000,1,,1,1,10,2,1023
2,4000000,4,1,5,2,8,2,3700
1,1050000,3,1,4,2,14,2,1313
1,1833000,1,,1,1,1,1,925
1,2999000,3,1,3,3,28,1,2066
5,638000,1,1,1,1,10,2,721
22,6842500,3,1,5,4,11,2,4025
22,8476050,4,1,5,4,11,2,5137
2,14000000,6,1,6,,2,2,9124
11,1415000,3,1,4,2,11,2,1496
2,12800000,6,,5,,2,2,14380
10,6900000,4,2,5,,2,2,12000
1,1380000,3,1,4,2,14,1,1701
1,2800000,2,,2,,1,1,1103
22,8280000,4,1,6,4,3,2,5137
29,3690000,4,1,5,6,4,3,3658
8,950000,4,1,3,2,6,2,1650
5,4000000,6,1,7,4,7,2,5337
22,9960000,6,,7,6,11,2,6913
22,6660000,4,,5,3,3,2,4771
22,6300000,3,1,5,3,11,2,4025
29,628000,3,,2,1,12,2,1150
29,628000,3,,2,1,12,2,1150
11,1590000,3,1,4,2,11,2,1878
1,3330000,2,1,3,1,14,1,2789
21,428000,3,1,2,2,1,2,918
39,1200000,,,,,11,,969
6,4800000,5,1,4,,7,2,8300
12,815000,2,,2,,11,1,1085
22,7500000,3,1,5,4,11,2,4025
1,1450000,2,,2,1,11,1,867
12,2950000,3,1,5,,6,3,3082
1,1000000,1,,1,1,11,2,751
13,640000,2,,2,1,1,,823
13,840000,3,,2,1,1,,1119
11,2600000,4,1,5,3,3,2,3478
6,1550000,2,1,3,2,1,,1444
6,2750000,3,1,4,2,1,2,2426
7,5500000,5,1,6,4,7,1,5446
21,428000,3,1,2,2,1,3,918
10,14800000,7,1,9,6,9,2,12000
1,28000000,14,,16,10,2,2,26000
19,770000,3,,3,2,11,2,1186
2,3600000,7,,7,5,2,3,5000
2,6500000,6,,6,4,2,,8500
1,870000,2,1,3,,1,1,1055
1,1200000,2,,2,1,12,2,976
22,7600000,5,1,6,,2,1,7750
30,720000,3,1,3,2,3,1,1577
5,1150000,5,1,3,4,3,2,1772
5,928000,4,,3,2,3,2,1513
1,1350000,1,1,2,1,1,1,900
14,360000,3,,2,1,12,2,1088
1,1000000,1,,1,1,13,2,751
11,1865000,3,1,5,3,3,2,2535
1,1308000,1,1,1,1,3,1,753
1,1760000,2,1,2,2,3,1,1159
16,568000,2,,2,2,3,2,904
1,1020000,3,,2,1,14,1,813
1,2400000,2,,2,1,14,1,1103
1,1099000,2,1,2,1,1,1,833
1,1550000,2,,2,2,14,1,910
11,1420000,4,,4,2,11,1,1496
11,2150000,3,1,4,,3,2,2707
11,2550000,4,1,5,2,11,2,2973
11,1850000,3,,3,2,1,,1573
5,980000,4,1,3,2,3,1,1513
2,2650000,3,1,5,3,1,2,2077
2,4000000,5,,4,,4,,
1,3364000,2,1,2,2,10,1,1399
1,1420000,2,1,2,1,3,2,976
1,2889000,1,,2,1,10,1,1163
1,1450000,1,,1,,28,1,1050
9,6220000,4,1,6,,11,1,4327
23,1080000,2,,2,1,12,2,1411
23,916000,1,,1,1,11,1,1119
1,1240000,1,1,,,1,,850
11,2500000,5,1,4,4,4,2,3833
33,1280000,,,,,33,,100000
16,2200000,4,1,5,5,8,2,3282
33,3600000,4,1,4,6,7,3,9670
6,5000000,7,1,5,3,2,1,6000
13,530000,1,,1,,10,1,638
20,2434900,3,1,4,1,1,3,1873
2,1600000,1,1,2,1,1,2,1152
18,2000000,6,,6,3,8,2,3200
4,535000,1,,1,1,10,2,762
1,6400000,3,1,4,,11,,2013
1,1200000,3,,3,2,1,1,1335
20,2550000,3,1,5,2,14,2,1830
33,1480000,3,1,4,2,12,1,1876
16,1348000,5,,6,4,15,3,3216
21,428000,3,1,2,2,1,2,918
11,618000,1,,1,1,10,1,462
11,1590000,3,1,3,2,11,2,2201
1,900000,2,1,2,,1,1,811
11,1950000,4,1,,3,11,2,1832
11,1700000,3,1,4,2,11,1,1496
1,1000000,1,,1,1,11,1,
21,360000,1,,1,,28,2,618
11,1950000,4,1,4,2,11,2,1830
1,2300000,1,,1,2,14,2,1023
1,1250000,2,1,3,2,14,1,1335
1,3166000,2,,2,1,10,1,1423
14,370000,3,,2,2,10,2,950
1,1000000,1,,1,1,13,1,751
22,6700000,4,1,6,3,3,,4771
22,6600000,3,1,5,3,3,4,4025
22,7400000,4,1,5,5,11,2,5137
22,6600000,4,1,6,,11,2,4945
2,12800000,6,1,9,10,7,1,8000
2,4500000,5,1,7,3,2,2,2970
22,6800000,5,2,6,6,2,2,7416
39,1288972,2,,2,1,11,1,1076
20,3700000,3,,3,1,1,2,1738
1,8400000,3,,3,2,12,,2454
4,410000,2,,2,2,3,2,885
1,3360000,1,1,2,2,1,2,1421
2,1770000,1,1,2,1,1,1,1152
11,1860000,3,1,4,2,3,2,2070
1,1450000,2,,2,1,14,1,1050
5,1060000,4,1,4,4,3,2,1772
5,900000,4,1,3,2,3,2,1513
14,1080000,3,1,4,2,12,2,1875
40,570000,3,,2,1,3,2,1200
5,900000,3,,2,,1,3,
11,1880000,3,1,3,2,11,2,2243
11,1685000,3,1,3,2,11,2,2038
5,550000,3,,2,2,12,2,1073
1,1000000,1,,1,1,11,2,751
12,2790000,3,1,4,,17,2,3000
1,2500000,1,,2,1,1,2,1023
12,2200000,5,1,5,,17,4,2200
4,998000,6,,5,,32,2,4186
24,2044800,2,,2,1,1,1,912
5,1250000,3,1,4,2,11,1,1700
1,4950000,4,,4,2,22,1,3300
11,2340000,4,1,5,3,11,2,0
11,1698000,3,1,4,2,11,2,0
11,1420000,3,1,4,2,11,2,1496
14,928000,2,2,2,2,13,3,1523
5,565000,3,,2,2,11,2,1100
14,1550000,3,1,4,4,3,2,2638
2,3200000,4,1,5,4,34,2,3670
14,670000,3,,2,2,1,1,907
1,1000000,1,,1,1,11,2,657
23,5999000,3,1,4,3,27,1,3289
14,1350000,3,2,4,3,3,,2128
11,2230000,4,1,5,3,11,2,2973
23,830000,2,,2,1,12,1,1072
23,1100000,3,1,4,2,12,2,2111
2,8300000,5,1,6,4,7,2,6103
34,3450000,4,1,5,3,7,2,5200
11,1000000,2,,2,,1,2,1000
1,2300000,1,,2,1,1,2,1023
1,3600000,3,1,5,2,14,2,3897
11,2300000,4,1,4,2,11,4,2702
1,1000000,1,,1,1,13,2,751
1,4756000,2,,2,2,3,2,1399
11,3580000,4,2,,4,4,,1300
11,1780000,3,,3,2,14,2,1523
1,1350000,1,1,2,1,1,1,900
1,2270000,1,1,2,,10,2,1076
19,375000,2,,2,1,1,3,743
13,380000,1,1,1,1,25,2,452
1,970000,1,,1,1,10,1,603
5,900000,4,,3,2,3,2,1513
5,1060000,4,1,4,4,3,2,1772
1,4250000,4,1,6,2,1,1,3300
1,2200000,3,1,3,,1,2,1888
12,2300000,4,1,5,3,3,2,2454
6,1950000,4,,,3,18,2,3700
21,520000,4,,2,2,3,2,1450
21,480000,4,,2,1,11,,
17,1420000,3,1,3,2,14,1,1582
20,1065140,3,,3,2,14,2,1025
12,1330000,,,,2,12,1,1292
1,1299000,2,,2,1,14,1,900
22,7600000,4,1,5,3,3,3,4771
1,1238000,2,,2,1,11,2,736
11,2390000,4,1,4,3,11,3,3043
5,850000,3,,2,2,11,1,1335
11,14500000,5,2,8,5,2,1,8600
20,4718680,4,1,5,4,22,2,3143
20,2050000,5,1,5,,11,1,3004
22,14800000,12,,8,6,7,2,6507
11,9900000,6,1,8,2,9,2,8700
22,5000000,6,,6,4,4,2,4800
11,1850000,3,1,3,2,11,1,2020
1,3360000,2,,2,2,10,2,1572
1,1000000,2,1,2,1,1,1,811
24,1000000,,,2,1,1,1,1012
29,3700000,4,1,5,6,8,2,3040
29,4200000,4,1,5,4,7,3,1615
22,18000000,6,,7,6,7,2,15000
29,2688888,5,1,5,9,11,2,4069
22,8200000,4,1,6,5,3,2,4945
11,6300000,4,1,5,6,11,2,8000
29,5500000,5,1,7,6,7,3,7100
14,550000,1,,2,1,10,1,775
29,3688000,4,1,5,5,35,2,1367
1,1000000,2,1,2,1,10,1,849
23,1730000,2,1,3,1,14,1,1442
10,5500000,5,,6,5,36,2,6900
5,900000,4,1,3,3,3,2,1513
5,1060000,4,1,4,4,3,2,1772
16,630000,2,1,2,2,1,2,1025
5,900000,3,,2,2,1,2,1170
21,428000,3,,,2,10,3,918
16,800000,3,,3,2,1,2,1430
22,9000000,5,,6,4,7,2,8000
2,9600000,7,1,9,6,9,2,7600
17,978458,1,,1,,16,2,562
5,1750000,4,1,5,3,3,2,2700
11,1300000,3,,2,,11,2,1200
32,1613300,3,1,4,3,3,2,2336
32,500000,3,,2,1,6,2,16
39,1200000,2,,2,1,11,2,969
11,2285000,4,2,6,3,3,2,2874
4,363000,3,,2,1,10,2,950
14,1430000,3,1,4,3,3,2,2638
30,1147000,5,1,5,5,11,2,2500
1,1000000,1,,1,1,11,2,751
11,645000,1,,1,1,1,1,462
1,1780000,1,,1,1,1,1,728
1,1900000,2,1,2,1,11,2,915
12,2290000,4,1,3,,17,2,2200
1,1000000,1,,1,1,13,2,751
1,1450000,2,,2,1,10,1,1050
2,18000000,7,,7,6,2,1,16000
12,1150000,3,,2,2,3,2,1580
1,3354000,2,,2,1,10,1,1006
1,1780000,1,,1,1,1,1,728
1,3600000,3,1,5,2,14,2,3897
24,900000,3,,3,1,10,1,1063
14,938000,2,1,3,2,12,2,1523
22,1590000,4,1,3,,6,3,1900
13,668000,2,,1,,1,,815
11,1800000,3,1,4,2,11,2,2038
24,2981550,2,,3,,14,2,1509
21,380000,3,1,2,2,11,,950
11,1450000,3,1,4,2,11,2,1496
11,1200000,3,,2,2,11,2,1200
11,1850000,3,1,4,2,11,2,2038
5,980000,4,1,3,2,11,2,1513
1,1377000,2,,2,1,12,2,871
1,1621000,3,,2,2,12,2,1031
1,1245000,1,,1,2,10,2,925
1,3600000,3,1,5,2,14,2,3897
1,4958000,4,,5,4,22,1,2615
1,1830000,3,1,4,2,1,1,1426
1,2688800,3,1,5,2,3,1,2593
1,3580000,3,2,5,,14,1,3897
1,3291600,2,1,3,1,14,2,1688
22,18000000,8,,7,,7,2,15000
1,5000000,3,1,4,2,14,1,
11,1100000,3,,2,2,11,2,1200
1,1198800,1,,1,1,1,1,636
1,1250000,1,,1,1,14,1,925
1,1830000,1,1,2,1,1,2,1076
11,1840000,3,1,4,3,3,2,2694
1,2449440,4,1,5,,3,1,2916
37,2398000,5,,3,8,4,1,5000
22,5800000,5,1,6,4,2,2,6600
14,350000,3,,2,,1,2,950
11,1690000,3,1,4,2,12,2,2020
20,1380000,3,,2,1,11,1,1500
14,2126000,5,1,6,6,11,,5632
22,1550000,3,,2,2,37,1,2400
1,1900000,1,1,2,1,10,1,1076
22,2900000,4,1,3,4,21,2,3254
11,2890000,4,1,6,3,3,1,3478
11,600000,1,,1,1,10,1,633
1,2270000,1,1,2,1,1,1,1087
21,418000,2,,2,2,14,2,900
4,318000,2,,2,1,12,1,970
4,690000,4,,3,2,6,2,20
1,1000000,1,,1,1,11,2,657
34,9000000,5,1,6,,2,2,8100
34,12000000,7,1,8,,2,2,9700
34,10500000,7,1,8,,2,2,9400
8,2400000,5,,5,6,8,2,4000
39,780000,1,,1,1,11,2,657
27,700000,3,1,3,2,12,2,1496
5,1068000,4,1,3,4,3,2,1772
12,3790000,8,,6,,30,2,3500
1,1420000,2,,2,1,12,2,976
11,2330000,4,1,5,3,3,2,2702
12,3500000,5,1,4,,15,2,5448
11,1780000,3,1,4,2,3,2,2073
1,1050000,1,,1,1,12,1,751
5,630000,3,,,2,3,2,1404
4,530000,3,1,2,1,12,3,1394
12,1990000,3,1,4,,6,2,1650
1,1637500,2,,2,1,11,1,976
1,7975250,4,1,6,2,22,,2975
14,669000,3,1,2,2,10,3,1094
14,1438000,3,1,4,4,12,3,2378
14,1280000,3,2,4,3,12,1,2128
1,1000000,2,2,3,2,1,1,1313
14,945000,2,1,3,2,12,2,1523
1,1550000,1,1,2,1,1,2,711
1,3100000,2,,2,2,14,2,1572
22,2900000,5,2,3,4,21,2,3400
1,2670000,2,,2,1,1,1,1114
11,908000,2,,2,1,1,2,873
11,1150000,2,,2,1,1,2,910
11,1100000,2,,2,1,1,1,907
2,5400000,5,,4,6,2,,7318
16,664000,3,,2,2,3,2,1260
32,609000,2,1,2,1,12,3,
1,1050000,1,,1,1,13,2,751
1,990000,1,,1,1,11,2,657
11,1450000,3,1,4,2,12,2,1496
1,1230000,1,,1,1,10,1,850
1,1000000,1,,1,1,12,2,657
11,1685000,3,1,4,2,3,2,2038
21,1377000,4,1,5,,11,3,2501
11,2800000,4,1,5,3,11,1,3041
11,1600000,4,,4,2,11,,
11,1750000,3,1,4,,11,,2073
2,2600000,3,1,4,2,1,2,1851
1,3600000,3,1,4,2,14,3,3897
2,1400000,1,,1,1,1,2,904
1,1000000,1,,1,1,11,2,751
1,5070000,3,,3,3,1,2,2142
4,450000,3,,2,2,11,3,1018
2,3800000,6,1,6,4,2,2,5000
1,3843000,1,1,2,1,3,2,1098
22,7000000,5,1,6,4,9,2,6846
