Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
2,4413,2,2,510000,1,155,26,13.5,3042,2,1,1,141,76,,21,-37.7202,144.8797,6,3464
2,1323,3,0,612000,1,155,26,13.5,3042,3,2,1,212,,,21,-37.7181,144.8824,6,3464
2,1803,3,0,662000,1,28,27,13.5,3042,3,1,2,612,,,21,-37.7169,144.8815,6,3464
2,7894,4,0,978000,1,155,30,13.5,3042,4,3,2,532,,,21,-37.7263,144.869,6,3464
2,7780,3,0,720000,0,155,31,13.5,3042,3,1,1,585,,,21,-37.72,144.878,6,3464
2,9732,4,0,765000,1,184,36,13.5,3042,4,1,2,509,,,21,-37.7261,144.8785,6,3464
2,12790,4,0,900000,1,90,36,13.5,3042,4,2,3,628,146,1975,21,-37.7256,144.8739,6,3464
4,1305,2,0,1275000,1,260,43,3.3,3206,2,1,0,120,82,1900,25,-37.8459,144.9555,5,3280
4,12789,2,0,1455000,1,227,43,3.3,3206,2,1,0,159,,,25,-37.845,144.9538,5,3280
4,1726,3,0,2850000,0,32,48,3.3,3206,3,2,0,211,198,1890,25,-37.8481,144.9499,5,3280
4,13261,3,0,1850000,1,85,48,3.3,3206,3,2,0,128,133,1890,25,-37.8452,144.9488,5,3280
4,8386,2,0,1436000,1,192,48,3.3,3206,2,1,0,130,81,1900,25,-37.8431,144.9565,5,3280
4,12155,2,0,1110000,1,135,51,3.3,3206,1,1,0,147,,1900,25,-37.8444,144.9484,5,3280
4,10484,2,0,1550000,1,219,52,3.3,3206,2,1,1,167,,,25,-37.8405,144.9521,5,3280
4,1286,4,0,2300000,1,135,52,3.3,3206,4,2,1,153,180,1880,25,-37.8447,144.9523,5,3280
4,9758,3,1,1550000,4,135,53,3.3,3206,3,2,2,718,,,25,-37.8443,144.9598,5,3280
4,151,3,0,1800000,4,85,53,3.3,3206,3,2,1,132,159,1996,25,-37.8415,144.952,5,3280
4,6504,2,0,2120000,1,85,1,3.3,3206,2,1,1,199,107,1900,25,-37.8422,144.9554,5,3280
4,6750,3,0,1800000,4,41,1,3.3,3206,3,1,1,253,,,25,-37.8443,144.9579,5,3280
4,5821,3,0,1800000,1,135,1,3.3,3206,3,2,1,90,122,1900,25,-37.8421,144.9571,5,3280
4,9360,2,0,1810000,0,85,2,3.3,3206,2,1,0,240,,,25,-37.8379,144.9539,5,3280
4,4149,3,0,2615000,1,41,2,3.3,3206,3,2,1,177,181,1880,25,-37.8415,144.9585,5,3280
4,5645,5,0,2100000,1,85,2,3.3,3206,5,2,1,237,,,25,-37.8436,144.9557,5,3280
4,7552,3,0,1300000,1,260,2,3.3,3206,3,1,0,129,,,25,-37.8422,144.949,5,3280
4,9755,3,0,1370000,1,85,5,3.3,3206,3,2,2,0,85,2000,25,-37.8451,144.9511,5,3280
4,11200,2,0,1000000,1,41,7,3.3,3206,2,1,0,288,,,25,-37.8407,144.9523,5,3280
4,11974,3,0,2575000,1,85,12,3.3,3206,3,2,1,228,,,25,-37.8445,144.9501,5,3280
4,11439,2,0,1322500,1,85,12,3.3,3206,2,1,0,149,98,1890,25,-37.8443,144.9481,5,3280
4,8106,2,0,1562500,1,85,12,3.3,3206,2,1,0,141,83,1890,25,-37.8424,144.9562,5,3280
4,12811,3,0,2000000,4,192,13,3.3,3206,3,2,1,211,147,1900,25,-37.847,144.9575,5,3280
4,2203,3,0,1900000,1,85,18,3.3,3206,3,1,0,209,,1900,25,-37.8468,144.9546,5,3280
4,13326,3,0,3010000,1,85,18,3.3,3206,3,2,0,147,146,1890,25,-37.8473,144.9551,5,3280
4,10583,4,0,2800000,4,41,19,3.3,3206,4,3,1,327,254,1910,25,-37.8467,144.9475,5,3280
4,1121,2,2,647000,1,85,24,3.3,3206,2,1,1,0,,,25,-37.846,144.9542,5,3280
4,10567,3,0,2100000,3,135,27,3.3,3206,2,1,1,120,123,1900,25,-37.8427,144.9546,5,3280
4,9727,3,0,2000000,0,135,30,3.3,3206,3,1,1,238,131,1890,25,-37.8461,144.9528,5,3280
4,2434,1,2,442500,1,135,31,3.3,3206,1,1,0,0,34,1970,25,-37.8421,144.9517,5,3280
4,1775,4,0,4735000,1,135,31,3.3,3206,4,2,1,330,207,1910,25,-37.8477,144.9558,5,3280
4,7667,2,0,1340000,1,85,31,3.3,3206,2,1,0,136,,,25,-37.846,144.9517,5,3280
4,7904,3,0,1801000,1,260,31,3.3,3206,3,1,1,202,,,25,-37.8429,144.9493,5,3280
4,6636,3,0,1532000,1,46,32,3.3,3206,3,3,1,0,,,25,-37.8415,144.9585,5,3280
4,5468,3,0,3755000,1,85,32,3.3,3206,3,2,2,325,,,25,-37.8413,144.95,5,3280
4,6225,4,0,2140000,1,85,35,3.3,3206,3,2,1,183,145,1880,25,-37.8434,144.9495,5,3280
4,9370,2,0,1750000,1,135,36,3.3,3206,2,1,1,162,,,25,-37.8416,144.9488,5,3280
4,10807,2,0,980000,1,85,38,3.3,3206,2,1,0,79,68,1890,25,-37.8387,144.9519,5,3280
4,5595,3,0,2030000,1,260,39,3.3,3206,3,2,0,152,,,25,-37.8488,144.9551,5,3280
4,3504,3,0,1740000,0,135,39,3.3,3206,3,2,2,147,134,1890,25,-37.8448,144.9453,5,3280
4,12116,3,0,2800000,4,32,46,3.3,3206,3,3,1,0,,,25,-37.8399,144.9577,5,3280
4,12946,1,0,985000,1,135,46,3.3,3206,1,1,0,81,54,1900,25,-37.8411,144.9497,5,3280
6,10968,4,0,2000000,1,27,43,6.4,3078,3,2,4,853,263,1930,6,-37.7707,145.0318,2,2211
6,10168,3,0,1110000,1,106,43,6.4,3078,3,2,2,208,,2013,31,-37.7854,145.0325,2,2211
6,2516,3,0,1492000,1,106,48,6.4,3078,3,2,2,411,,,6,-37.7713,145.0279,2,2211
6,9400,4,0,1717500,1,49,56,6.4,3078,4,2,1,599,203,1925,6,-37.7717,145.031,2,2211
6,12737,5,0,2840000,1,155,5,6.4,3078,5,4,4,809,165,1910,6,-37.775,145.0268,2,2211
6,7022,2,2,525500,1,146,7,6.4,3078,2,1,1,88,60,1960,6,-37.7791,145.0306,2,2211
6,8745,2,1,805000,1,146,7,6.4,3078,2,2,3,155,140,2004,6,-37.7804,145.0308,2,2211
6,4776,2,2,465000,1,140,7,6.4,3078,2,1,1,0,,,6,-37.7773,145.0314,2,2211
6,12704,3,0,2000000,0,260,12,6.4,3078,3,3,2,686,,,6,-37.78,145.0341,2,2211
6,9391,3,0,1540000,1,155,13,6.4,3078,3,1,2,592,,,6,-37.7755,145.0288,2,2211
6,7326,2,2,820000,1,155,18,6.4,3078,2,1,1,183,,,6,-37.7747,145.0264,2,2211
6,943,4,0,1830000,1,155,21,6.4,3078,4,2,2,606,112,1970,6,-37.7743,145.0316,2,2211
6,8224,4,0,2100000,1,155,21,6.4,3078,4,2,2,575,271,2008,6,-37.7723,145.0319,2,2211
6,6641,3,0,865000,3,260,24,6.4,3078,3,1,1,180,131,2010,6,-37.7802,145.0243,2,2211
6,10156,2,2,390000,4,155,24,6.4,3078,2,1,1,0,60,1960,6,-37.7773,145.0314,2,2211
6,11948,2,1,650000,3,27,30,6.4,3078,0,1,0,0,,,31,-37.7848,145.025,2,2211
6,340,2,2,512000,1,127,31,6.4,3078,2,1,1,0,61,1965,6,-37.7805,145.0262,2,2211
6,5491,3,0,1165000,1,16,35,6.4,3078,3,1,2,979,,,31,-37.7792,145.029,2,2211
6,1544,4,0,1900000,3,140,36,6.4,3078,4,2,2,556,272,1930,31,-37.7844,145.0225,2,2211
6,10926,3,0,1485000,3,140,39,6.4,3078,3,0,0,597,,,6,-37.7781,145.0284,2,2211
6,9243,4,0,1950000,1,106,46,6.4,3078,4,2,3,589,210,1920,6,-37.7719,145.0309,2,2211
7,3119,3,0,520000,4,85,43,13.8,3018,3,2,1,352,242,2015,10,-37.87,144.825,6,5301
7,10710,5,0,1525000,1,85,45,13.8,3018,5,3,3,729,268,2005,10,-37.8721,144.8105,6,5301
7,305,2,1,720000,1,260,47,13.8,3018,2,1,2,292,125,2013,10,-37.8687,144.8197,6,5301
7,8438,3,0,1120000,1,15,48,13.8,3018,3,1,2,506,120,1930,10,-37.8693,144.8375,6,5301
7,5056,4,0,780000,0,222,49,13.8,3018,4,1,4,655,,,10,-37.868,144.8154,6,5301
7,6551,4,0,1780000,3,85,49,13.8,3018,4,3,6,1057,220,1962,10,-37.8681,144.819,6,5301
7,409,3,2,630000,1,15,51,13.8,3018,2,1,2,311,94,1955,10,-37.8702,144.8143,6,5301
7,10124,2,2,406000,3,260,51,13.8,3018,2,1,1,65,,,10,-37.8693,144.8171,6,5301
7,3104,3,0,660000,4,85,52,13.8,3018,3,1,1,602,123,1955,10,-37.8616,144.8116,6,5301
7,1529,3,0,683500,1,85,53,13.8,3018,3,1,1,530,,,10,-37.8594,144.817,6,5301
7,327,2,2,580000,1,15,56,13.8,3018,2,1,1,225,93,1988,10,-37.8696,144.827,6,5301
7,3596,3,0,1335000,1,260,56,13.8,3018,3,1,4,777,22,1953,10,-37.8697,144.8249,6,5301
7,546,3,1,800000,3,260,56,13.8,3018,3,2,2,280,,1997,10,-37.8734,144.8143,6,5301
7,7082,2,2,510000,1,239,1,13.8,3018,2,1,1,127,76,1990,10,-37.8686,144.8182,6,5301
7,6198,4,0,1070000,1,15,1,13.8,3018,4,2,2,695,,,10,-37.8733,144.8147,6,5301
7,8889,2,2,425000,1,260,1,13.8,3018,2,1,2,115,57,1980,10,-37.871,144.8185,6,5301
7,818,3,2,605000,1,104,2,13.8,3018,3,2,2,230,,,10,-37.8646,144.827,6,5301
7,4060,3,1,705000,1,260,3,13.8,3018,3,2,2,197,152,,10,-37.8579,144.8181,6,5301
7,8820,2,2,391000,3,85,3,13.8,3018,2,1,1,0,65,1965,10,-37.8678,144.8384,6,5301
7,1721,2,2,440000,3,260,3,13.8,3018,2,1,1,0,,,10,-37.8659,144.831,6,5301
7,5879,4,0,845000,1,260,3,13.8,3018,4,1,2,745,130,1950,10,-37.8658,144.8155,6,5301
7,373,3,1,743000,3,86,7,13.8,3018,3,2,2,211,176,,10,-37.8698,144.816,6,5301
7,8903,3,2,730000,3,15,9,13.8,3018,3,2,1,69,141,2014,10,-37.868,144.8286,6,5301
7,3353,3,0,635000,1,222,10,13.8,3018,3,1,4,625,,1960,10,-37.8611,144.8114,6,5301
7,7077,2,2,620000,3,260,10,13.8,3018,2,1,1,168,,,10,-37.8676,144.8202,6,5301
7,7195,2,2,447000,1,31,12,13.8,3018,2,1,1,137,77,1990,10,-37.8655,144.8299,6,5301
7,785,3,2,730000,3,15,13,13.8,3018,3,2,1,70,,,10,-37.868,144.8287,6,5301
7,5460,3,0,678000,1,260,13,13.8,3018,3,1,2,606,87,1950,10,-37.8608,144.8124,6,5301
7,10193,2,2,580000,0,23,14,13.8,3018,2,2,1,175,76,2013,10,-37.8687,144.8268,6,5301
7,564,3,0,712000,1,260,17,13.8,3018,3,1,2,363,,,10,-37.8674,144.8375,6,5301
7,6276,3,0,840000,3,85,18,13.8,3018,3,2,2,534,136,1965,10,-37.86,144.8245,6,5301
7,8443,3,0,980000,1,15,21,13.8,3018,3,1,2,724,,,10,-37.8672,144.817,6,5301
7,1985,3,1,605100,1,260,24,13.8,3018,3,2,0,265,,,10,-37.8583,144.8172,6,5301
7,3829,3,0,880000,0,15,26,13.8,3018,3,3,1,577,,,10,-37.8699,144.8235,6,5301
7,7043,3,2,577000,1,251,27,13.8,3018,3,2,1,205,113,2007,10,-37.8684,144.815,6,5301
7,10331,4,0,1030000,1,15,31,13.8,3018,4,1,0,797,,,10,-37.8663,144.8387,6,5301
7,4380,3,2,605000,1,15,31,13.8,3018,3,1,2,181,,,10,-37.8659,144.822,6,5301
7,5835,3,0,753000,1,15,35,13.8,3018,3,2,2,529,,,10,-37.8612,144.8247,6,5301
7,1282,2,0,857000,3,260,36,13.8,3018,2,2,1,675,100,1950,10,-37.8653,144.8129,6,5301
7,9696,3,0,1500000,1,15,38,13.8,3018,3,1,1,929,,,10,-37.8651,144.832,6,5301
7,10161,3,2,730000,3,15,38,13.8,3018,3,2,1,70,3,2014,10,-37.868,144.8285,6,5301
7,2956,3,0,900000,1,222,38,13.8,3018,3,1,4,697,,,10,-37.871,144.8075,6,5301
7,5401,3,0,740000,1,85,39,13.8,3018,3,1,2,604,,,10,-37.8631,144.8195,6,5301
7,6702,4,0,931000,1,222,39,13.8,3018,4,2,3,532,,1970,10,-37.8637,144.8365,6,5301
7,4841,2,0,535600,3,51,46,13.8,3018,2,1,1,154,91,1996,10,-37.8646,144.8272,6,5301
9,9446,5,0,1085000,1,71,43,11.1,3025,5,3,6,592,251,1965,10,-37.8388,144.8567,6,5132
9,8532,3,0,781000,1,104,43,11.1,3025,3,1,2,533,117,1970,10,-37.8291,144.835,6,5132
9,5275,3,0,750000,3,104,48,11.1,3025,3,1,3,554,,,10,-37.8449,144.85,6,5132
9,7258,2,1,421000,1,260,48,11.1,3025,2,1,1,77,77,2009,10,-37.8351,144.8529,6,5132
9,3086,3,0,1405000,1,222,48,11.1,3025,3,1,3,655,,,10,-37.8338,144.8562,6,5132
9,7724,3,0,683000,1,71,49,11.1,3025,3,1,2,534,167,1967,10,-37.8284,144.8355,6,5132
9,3199,3,0,623000,1,222,49,11.1,3025,3,1,3,540,,,10,-37.8267,144.8368,6,5132
9,745,3,0,720000,4,85,51,11.1,3025,3,2,1,0,130,2012,10,-37.8379,144.8583,6,5132
9,920,3,0,588000,1,251,52,11.1,3025,3,1,1,328,118,1970,10,-37.838,144.8555,6,5132
9,9790,3,0,710000,0,239,53,11.1,3025,3,1,3,540,116,1960,10,-37.8294,144.8378,6,5132
9,5933,4,0,875000,3,104,56,11.1,3025,3,1,4,559,169,1965,10,-37.8448,144.8529,6,5132
9,5275,3,0,700000,4,104,2,11.1,3025,3,1,3,554,,,10,-37.8449,144.85,6,5132
9,532,2,1,640000,1,251,4,11.1,3025,2,1,1,252,,1965,10,-37.8397,144.8602,6,5132
9,5222,4,0,650000,3,251,5,11.1,3025,4,1,4,558,,,10,-37.8451,144.8529,6,5132
9,4683,3,0,675000,1,260,10,11.1,3025,3,2,2,171,109,2012,10,-37.8337,144.8554,6,5132
9,1444,3,0,708000,1,85,12,11.1,3025,3,1,2,585,97,1960,10,-37.8258,144.8523,6,5132
9,1045,4,0,965000,3,86,12,11.1,3025,4,1,4,851,,,10,-37.8345,144.8444,6,5132
9,3151,3,0,680000,1,222,21,11.1,3025,3,1,3,551,,,10,-37.8254,144.8514,6,5132
9,5297,3,0,770000,3,260,21,11.1,3025,3,1,3,602,603,,10,-37.8327,144.8451,6,5132
9,7516,3,0,923000,1,85,24,11.1,3025,3,1,2,740,,,10,-37.8269,144.8455,6,5132
9,6070,4,0,693000,3,195,24,11.1,3025,4,2,4,315,170,2008,10,-37.8391,144.8467,6,5132
9,376,3,0,620000,3,99,26,11.1,3025,5,2,2,276,100,2010,10,-37.8262,144.8443,6,5132
9,4172,3,0,728500,1,104,26,11.1,3025,3,1,1,531,157,1960,10,-37.8277,144.8385,6,5132
9,5809,3,0,931000,1,260,26,11.1,3025,3,2,1,590,160,1950,10,-37.8382,144.8649,6,5132
9,8591,3,0,988000,1,222,26,11.1,3025,3,1,4,715,,2008,10,-37.8423,144.8632,6,5132
9,2106,3,0,590000,1,239,27,11.1,3025,3,1,2,561,,,10,-37.8444,144.8491,6,5132
9,7994,2,0,610000,1,192,30,11.1,3025,2,1,2,691,,,10,-37.834,144.8553,6,5132
9,10875,3,0,815000,1,260,31,11.1,3025,3,2,3,555,130,1960,10,-37.8318,144.8388,6,5132
9,12771,4,0,970000,1,85,31,11.1,3025,4,1,2,708,,,10,-37.833,144.8494,6,5132
9,3098,4,0,760000,1,99,35,11.1,3025,4,1,3,668,,,10,-37.8262,144.8439,6,5132
9,6211,4,1,847500,1,192,35,11.1,3025,4,3,1,252,,,10,-37.8393,144.8568,6,5132
9,9824,4,0,1200000,3,192,36,11.1,3025,4,1,4,633,158,1960,10,-37.8375,144.8541,6,5132
9,1358,3,0,700000,3,99,36,11.1,3025,3,1,1,557,,,10,-37.8441,144.8505,6,5132
9,1019,3,0,625000,0,99,38,11.1,3025,3,1,1,536,,,10,-37.8285,144.8351,6,5132
9,8763,2,2,292000,1,104,39,11.1,3025,2,1,1,153,70,1970,10,-37.8332,144.8649,6,5132
11,12555,2,2,599000,1,106,43,6.3,3143,2,1,1,0,76,1964,26,-37.8543,145.0262,5,4836
11,702,2,2,550000,4,161,45,6.3,3143,2,1,0,861,,,26,-37.8539,145.0284,5,4836
11,2763,3,2,995000,1,135,45,6.3,3143,3,2,2,0,100,1998,26,-37.8552,145.016,5,4836
11,8948,3,1,1205000,1,106,45,6.3,3143,3,2,2,101,105,2000,26,-37.854,145.0135,5,4836
11,11748,3,0,1939000,1,106,45,6.3,3143,3,2,2,296,150,1889,26,-37.8614,145.0274,5,4836
11,13147,1,2,421500,1,23,45,6.3,3143,1,1,0,0,,,26,-37.853,145.0167,5,4836
11,6362,3,0,1870000,1,94,48,6.3,3143,3,1,1,217,116,1888,26,-37.8592,145.0182,5,4836
11,6994,2,2,678000,1,260,48,6.3,3143,2,1,2,0,,,26,-37.8538,145.0127,5,4836
11,7042,3,1,1918000,3,106,48,6.3,3143,3,2,2,0,165,1995,26,-37.8537,145.0267,5,4836
11,878,2,2,660000,3,260,48,6.3,3143,2,1,1,0,,,26,-37.8619,145.0257,5,4836
11,2009,3,0,2050000,1,135,48,6.3,3143,3,2,1,205,116,1910,26,-37.8574,145.0281,5,4836
11,12635,2,2,700000,4,106,49,6.3,3143,2,1,2,0,,,26,-37.8552,145.016,5,4836
11,1624,2,2,3625000,1,106,49,6.3,3143,3,2,2,0,,2006,26,-37.8555,145.0291,5,4836
11,10403,4,0,3000000,4,106,49,6.3,3143,4,2,2,1581,,1934,26,-37.858,145.0111,5,4836
11,10586,5,0,1525000,0,106,52,6.3,3143,8,2,2,693,,,26,-37.8638,145.0229,5,4836
11,13096,3,2,735000,0,135,52,6.3,3143,3,2,1,2113,14,1970,26,-37.8543,145.0262,5,4836
11,11086,2,2,825000,1,106,52,6.3,3143,2,1,1,0,,,26,-37.8528,145.0268,5,4836
11,10478,3,1,1586000,1,192,52,6.3,3143,2,2,2,246,,,26,-37.8566,145.0116,5,4836
11,3796,2,2,645000,1,135,56,6.3,3143,3,1,1,0,,1960,26,-37.8596,145.0198,5,4836
11,1099,1,0,1435000,3,106,56,6.3,3143,2,2,1,144,107,1900,26,-37.8564,145.0228,5,4836
11,3051,1,2,280000,0,260,1,6.3,3143,1,1,1,0,38,1975,26,-37.8619,145.0185,5,4836
11,445,1,2,400000,0,260,2,6.3,3143,1,1,1,0,,,26,-37.8605,145.0185,5,4836
11,8751,2,0,1780000,1,135,2,6.3,3143,2,2,2,0,,,26,-37.8537,145.0267,5,4836
11,12620,2,2,592500,1,260,2,6.3,3143,2,1,1,0,73,1970,26,-37.8574,145.0174,5,4836
11,9027,2,0,1210000,1,135,7,6.3,3143,2,1,0,249,96,1910,26,-37.8543,145.016,5,4836
11,7998,4,0,2801000,1,135,7,6.3,3143,4,2,2,624,222,1900,26,-37.8536,145.0173,5,4836
11,11934,1,2,390000,1,106,10,6.3,3143,1,1,0,881,,,26,-37.8614,145.0222,5,4836
11,12300,3,0,1800000,0,192,12,6.3,3143,3,2,2,405,121,1910,26,-37.8545,145.0145,5,4836
11,6001,4,0,2200000,0,106,12,6.3,3143,4,1,2,495,163,1900,26,-37.8613,145.0264,5,4836
11,12618,1,2,324000,1,106,13,6.3,3143,1,1,1,0,,,26,-37.8537,145.0114,5,4836
